Date,HOUR,PUN
2017-06-24,3,47.46
2017-06-24,4,47.34
2017-06-24,5,46.83
2017-06-24,6,46.51
2017-06-24,7,44.0
2017-06-24,8,46.23207
2017-06-24,9,49.23875
2017-06-24,10,48.66732
2017-06-24,11,47.79836
2017-06-24,12,46.62022
2017-06-24,13,43.96815
2017-06-24,14,43.45
2017-06-24,15,43.33
2017-06-24,16,43.676
2017-06-24,17,46.62616
2017-06-24,18,48.28162
2017-06-24,19,51.89514
2017-06-24,20,56.99683
2017-06-24,21,57.36503
2017-06-24,22,58.2465
2017-06-24,23,52.40713
2017-06-24,24,49.56279
2017-06-25,1,47.57979
2017-06-25,2,44.29383
2017-06-25,3,40.37083
2017-06-25,4,39.57369
2017-06-25,5,41.7
2017-06-25,6,42.18
2017-06-25,7,40.33
2017-06-25,8,40.33
2017-06-25,9,40.33
2017-06-25,10,42.16
2017-06-25,11,46.59339
2017-06-25,12,46.36088
2017-06-25,13,44.15251
2017-06-25,14,40.08634
2017-06-25,15,39.3017
2017-06-25,16,39.36986
2017-06-25,17,42.04387
2017-06-25,18,43.8076
2017-06-25,19,44.37203
2017-06-25,20,47.41974
2017-06-25,21,49.30034
2017-06-25,22,50.20815
2017-06-25,23,49.58606
2017-06-25,24,46.10922
2017-06-26,1,46.19361
2017-06-26,2,42.75975
2017-06-26,3,37.34812
2017-06-26,4,34.80675
2017-06-26,5,35.84478
2017-06-26,6,37.33787
2017-06-26,7,43.56303
2017-06-26,8,48.7019
2017-06-26,9,57.19262
2017-06-26,10,54.88788
2017-06-26,11,55.23564
2017-06-26,12,56.4061
2017-06-26,13,54.39433
2017-06-26,14,55.33425
2017-06-26,15,55.30308
2017-06-26,16,54.64778
2017-06-26,17,65.30805
2017-06-26,18,70.12056
2017-06-26,19,59.82494
2017-06-26,20,56.97469
2017-06-26,21,57.20646
2017-06-26,22,57.87221
2017-06-26,23,52.36055
2017-06-26,24,50.42615
2017-06-27,1,49.62728
2017-06-27,2,48.24061
2017-06-27,3,46.77433
2017-06-27,4,43.98074
2017-06-27,5,43.98085
2017-06-27,6,42.92411
2017-06-27,7,46.78009
2017-06-27,8,49.40024
2017-06-27,9,55.3912
2017-06-27,10,51.05858
2017-06-27,11,53.19444
2017-06-27,12,49.57844
2017-06-27,13,47.43141
2017-06-27,14,47.02061
2017-06-27,15,49.72509
2017-06-27,16,47.67328
2017-06-27,17,50.24308
2017-06-27,18,55.03793
2017-06-27,19,50.48873
2017-06-27,20,53.27389
2017-06-27,21,56.26095
2017-06-27,22,54.30723
2017-06-27,23,50.0679
2017-06-27,24,48.28711
2017-06-28,1,48.29935
2017-06-28,2,44.96428
2017-06-28,3,40.87091
2017-06-28,4,39.21075
2017-06-28,5,39.0
2017-06-28,6,40.0
2017-06-28,7,44.3075
2017-06-28,8,47.8745
2017-06-28,9,51.84655
2017-06-28,10,53.85671
2017-06-28,11,53.19
2017-06-28,12,53.54995
2017-06-28,13,49.65612
2017-06-28,14,47.50635
2017-06-28,15,49.82789
2017-06-28,16,50.11071
2017-06-28,17,51.30699
2017-06-28,18,49.0901
2017-06-28,19,50.97562
2017-06-28,20,50.80543
2017-06-28,21,50.27919
2017-06-28,22,50.30173
2017-06-28,23,48.87908
2017-06-28,24,46.80434
